Province,Car,Sector,Sum Sector,,,,,,,,,,,,,,,,,,
Bangkok,12120846,BK&Central,14624293,,,,,,,,,,,,,,,,,,
Chai Nat,184893,Central,2503447,,,,,,,,,,,,,,,,,,
Sing Buri,145437,Central,,,,,,,,,,,,,,,,,,,
Lop Buri,454604,Central,,,,,,,,,,,,,,,,,,,
Ang Thong,162878,Central,,,,,,,,,,,,,,,,,,,
Saraburi,467168,Central,,,,,,,,,,,,,,,,,,,
Ayuthaya,542803,Central,,,,,,,,,,,,,,,,,,,
Pathum Thani,183643,Central,,,,,,,,,,,,,,,,,,,
Nonthaburi,184031,Central,,,,,,,,,,,,,,,,,,,
Samut Prakarn,177990,Central,,,,,,,,,,,,,,,,,,,
Nakhon Nayok,147328,Eastern,4471541,,,,,,,,,,,,,,,,,,
Prachin Buri,302332,Eastern,,,,,,,,,,,,,,,,,,,
Chachoengsao,446650,Eastern,,,,,,,,,,,,,,,,,,,
Chonburi,1817814,Eastern,,,,,,,,,,,,,,,,,,,
Rayong,871287,Eastern,,,,,,,,,,,,,,,,,,,
Chanthaburi,443127,Eastern,,,,,,,,,,,,,,,,,,,
Trad,139975,Eastern,,,,,,,,,,,,,,,,,,,
Sra Kaew,303028,Eastern,,,,,,,,,,,,,,,,,,,
Chaiyaphum,412965,North Eastern,9458953,,,,,,,,,,,,,,,,,,
Yasothon,227505,North Eastern,,,,,,,,,,,,,,,,,,,
Ubon Ratchathani,826099,North Eastern,,,,,,,,,,,,,,,,,,,Mukdahan
Si Sa Ket,458808,North Eastern,,,,,,,,,,,,,,,,,,,192182
Buri Rum,584475,North Eastern,,,,,,,,,,,,,,,,,,,
Nakhon Ratchasima,1508586,North Eastern,,,,,,,,,,,,,,,,,,,
Surin,517889,North Eastern,,,,,,,,,,,,,,,,,,,
Amnat Charoen,138671,North Eastern,,,,,,,,,,,,,,,,,,,
Nong Bua Lamphu,179952,North Eastern,,,,,,,,,,,,,,,,,,,
Bueng Kan,138981,North Eastern,,,,,,,,,,,,,,,,,,,
Nong Khai,219232,North Eastern,,,,,,,,,,,,,,,,,,,
Loei,305778,North Eastern,,,,,,,,,,,,,,,,,,,
Udon Thani,778720,North Eastern,,,,,,,,,,,,,,,,,,,
Nakhon Phanom,240943,North Eastern,,,,,,,,,,,,,,,,,,,
Sakon Nakhon,560766,North Eastern,,,,,,,,,,,,,,,,,,,
Khon Kaen,964007,North Eastern,,,,,,,,,,,,,,,,,,,
Kalasin,339056,North Eastern,,,,,,,,,,,,,,,,,,,
Maha Sarakham,393999,North Eastern,,,,,,,,,,,,,,,,,,,
Roi Et,470339,North Eastern,,,,,,,,,,,,,,,,,,,
Mukdahan,192182,North Eastern,,,,,,,,,,,,,,,,,,,
Chiang Rai,826725,Northern,7646631,,,,,,,,,,,,,,,,,,
Mae Hong Son,81479,Northern,,,,,,,,,,,,,,,,,,,
Chiang Mai,1625791,Northern,,,,,,,,,,,,,,,,,,Uthai Thani,
Phayao,284174,Northern,,,,,,,,,,,,,,,,,,199066,
Nran,264707,Northern,,,,,,,,,,,,,,,,,,,
Lamphun,285237,Northern,,,,,,,,,,,,,,,,,,,
Lampang,471660,Northern,,,,,,,,,,,,,,,,,,,
Phrae,280320,Northern,,,,,,,,,,,,,,,,,,,
Uttaradit,281539,Northern,,,,,,,,,,,,,,,,,,,
Sukhothai,348234,Northern,,,,,,,,,,,,,,,,,,,
Tak,268743,Northern,,,,,,,,,,,,,,,,,,,
Phitsanulok,589189,Northern,,,,,,,,,,,,,,,,,,,
Kamphaeng Phet,396652,Northern,,,,,,,,,,,,,,,,,,,
Phichit,306360,Northern,,,,,,,,,,,,,,,,,,,
Phetchabun,504230,Northern,,,,,,,,,,,,,,,,,,,
Nakhon Sawan,632525,Northern,,,,,,,,,,,,,,,,,,,
Uthai Thani,199066,Northern,,,,,,,,,,,,,,,,,,,
Suphan Buri,514536,Western,3114008,,,,,,,,,,,,,,,,,,
Khanchanaburi,430128,Western,,,,,,,,,,,,,,,,,,,
Nakhon Pathom,532168,Western,,,,,,,,,,,,,,,,,,,
Ratchaburi,551849,Western,,,,,,,,,,,,,,,,,,,
Samut Sakorn,273265,Western,,,,,,,,,,,,,,,,,,,
Samut Songkram,87067,Western,,,,,,,,,,,,,,,,,,,
Petchaburi,367871,Western,,,,,,,,,,,,,,,,,,,
Prachuap Kiri Khan,357124,Western,,,,,,,,,,,,,,,,,,,
Chumphon,325580,Southern,5376289,,,,,,,,,,,,,,,,,,
Ranong,108359,Southern,,,,,,,,,,,,,,,,,,,
Surat Thani,691017,Southern,,,,,,,,,,,,,,,,,,,
Pang Nga,130557,Southern,,,,,,,,,,,,,,,,,,,
Nakhon Si Thammarat,690148,Southern,,,,,,,,,,,,,,,,,,,
Krabi,288333,Southern,,,,,,,,,,,,,,,,,,,
Phuket,532659,Southern,,,,,,,,,,,,,,,,,,,
Phatthalung,268260,Southern,,,,,,,,,,,,,,,,,,,
Trang,374637,Southern,,,,,,,,,,,,,,,,,,,
Songkhla,938858,Southern,,,,,,,,,,,,,,,,,,,
Satun,144345,Southern,,,,,,,,,,,,,,,,,,,
Pattani,275932,Southern,,,,,,,,,,,,,,,,,,,
Yala,328621,Southern,,,,,,,,,,,,,,,,,,,
Narathiwat,278983,Southern,,,,,,,,,,,,,,,,,,,
